,patient,v,UC_mean,UC_cov,EWS_mean,TWS_mean
0,2,0,0.00390625,3.814697265625e-06,0.642282124337403,0.6492530737996144
1,2,1,0.00390625,7.62939453125e-06,0.6424497999866029,0.6503353248818655
2,2,2,0.00390625,1.52587890625e-05,0.64270026016953,0.6541869492636756
3,2,3,0.00390625,3.0517578125e-05,0.6430018421212487,0.6564327877904739
4,2,4,0.00390625,6.103515625e-05,0.6431369139337165,0.6593480620873271
5,2,5,0.00390625,0.0001220703125,0.6425727043273156,0.6588031298666984
6,2,6,0.00390625,0.000244140625,0.6407505525354376,0.6563102679067142
7,2,7,0.00390625,0.00048828125,0.6372827745135893,0.6477305893579954
8,2,8,0.00390625,0.0009765625,0.6324969360459575,0.6245876172742171
9,2,9,0.00390625,0.001953125,0.6271422064043247,0.6044358762389453
10,2,10,0.00390625,0.00390625,0.6220660652326475,0.5891675348340107
11,2,11,0.00390625,0.0078125,0.618245727109198,0.5648315594295874
12,2,12,0.00390625,0.015625,0.6153368585923754,0.554593953997474
13,2,13,0.00390625,0.03125,0.6129832487246826,0.5447818371622046
14,2,14,0.00390625,0.0625,0.6116648344014771,0.5353860586487791
15,2,15,0.00390625,0.125,0.6105021585760522,0.528243378344334
16,2,16,0.00390625,0.25,0.6089307135121007,0.5174160544415627
17,2,17,0.00390625,0.5,0.6058576782738329,0.5096240781174823
18,2,18,0.00390625,1.0,0.592626550591426,0.4635179794243935
19,2,19,0.0078125,3.814697265625e-06,0.640731657788633,0.6437555560443903
20,2,20,0.0078125,7.62939453125e-06,0.6409744049686446,0.646626527665362
21,2,21,0.0078125,1.52587890625e-05,0.6413832872714196,0.6426733049621393
22,2,22,0.0078125,3.0517578125e-05,0.6419989468496905,0.6426041611429955
23,2,23,0.0078125,6.103515625e-05,0.6426231994128564,0.6437438685226073
24,2,24,0.0078125,0.0001220703125,0.642807046975093,0.6477501718853179
25,2,25,0.0078125,0.000244140625,0.6417865953340477,0.6389302245642265
26,2,26,0.0078125,0.00048828125,0.639041400921005,0.6471859480911843
27,2,27,0.0078125,0.0009765625,0.6347076456277123,0.6390567769303132
28,2,28,0.0078125,0.001953125,0.6296117821040171,0.6237290562620351
29,2,29,0.0078125,0.00390625,0.625033748655045,0.6027739136359072
30,2,30,0.0078125,0.0078125,0.6224208747054617,0.5931867437588261
31,2,31,0.0078125,0.015625,0.621009599463021,0.5795670830567855
32,2,32,0.0078125,0.03125,0.619493472074789,0.5723256431528069
33,2,33,0.0078125,0.0625,0.6183245904205287,0.5638253197287051
34,2,34,0.0078125,0.125,0.6172431411309637,0.5656364348087662
35,2,35,0.0078125,0.25,0.6157844664478463,0.5592968708066635
36,2,36,0.0078125,0.5,0.613197690371771,0.5442089575931615
37,2,37,0.0078125,1.0,0.6008378167477797,0.49860675287381434
38,2,38,0.015625,3.814697265625e-06,0.6319797638417438,0.6135924372985216
39,2,39,0.015625,7.62939453125e-06,0.6322272770572125,0.6163219381897872
40,2,40,0.015625,1.52587890625e-05,0.6326405905022638,0.6187844515218658
41,2,41,0.015625,3.0517578125e-05,0.6332904082111627,0.6179869487262811
42,2,42,0.015625,6.103515625e-05,0.6341149368254105,0.6227933714456126
43,2,43,0.015625,0.0001220703125,0.6347068541512685,0.6288766035156867
44,2,44,0.015625,0.000244140625,0.6343592912666179,0.6249768220280738
45,2,45,0.015625,0.00048828125,0.6324750166383695,0.6226114605632372
46,2,46,0.015625,0.0009765625,0.6288503524649885,0.6157533772009139
47,2,47,0.015625,0.001953125,0.6242003497166367,0.5938507659264154
48,2,48,0.015625,0.00390625,0.6200091334954566,0.5717027599935798
49,2,49,0.015625,0.0078125,0.6179825569676943,0.5629022264546898
50,2,50,0.015625,0.015625,0.6176509466150484,0.5640139002923361
51,2,51,0.015625,0.03125,0.6173292260319884,0.5737324603003026
52,2,52,0.015625,0.0625,0.6168113317767129,0.575407564384883
53,2,53,0.015625,0.125,0.6160818422245946,0.567300516640098
54,2,54,0.015625,0.25,0.6148084972265536,0.5603561523192362
55,2,55,0.015625,0.5,0.6124200416129866,0.5421811515212377
56,2,56,0.015625,1.0,0.6005972404121975,0.49915540193841446
57,2,57,0.03125,3.814697265625e-06,0.617872345540004,0.5762031737549976
58,2,58,0.03125,7.62939453125e-06,0.6180390302148208,0.575290687548394
59,2,59,0.03125,1.52587890625e-05,0.6183520925168604,0.5745134827270714
60,2,60,0.03125,3.0517578125e-05,0.6188531026561379,0.5789759454275203
61,2,61,0.03125,6.103515625e-05,0.6195250627354278,0.5808095829229226
62,2,62,0.03125,0.0001220703125,0.6200802250506656,0.5752068952768913
63,2,63,0.03125,0.000244140625,0.6200095068683921,0.5741135826889292
64,2,64,0.03125,0.00048828125,0.618687506072087,0.5675599349487155
65,2,65,0.03125,0.0009765625,0.6157891386348692,0.5568601337976423
66,2,66,0.03125,0.001953125,0.6119982355379205,0.5441219870862151
67,2,67,0.03125,0.00390625,0.6084396385873189,0.5313015975638805
68,2,68,0.03125,0.0078125,0.6068375705678833,0.5216078556332965
69,2,69,0.03125,0.015625,0.6068995453746306,0.5281280262839018
70,2,70,0.03125,0.03125,0.607390199347399,0.5326159444084131
71,2,71,0.03125,0.0625,0.6077178209131832,0.5388603215943706
72,2,72,0.03125,0.125,0.607754167509137,0.5299391482432606
73,2,73,0.03125,0.25,0.6066485888228758,0.5217122785133285
74,2,74,0.03125,0.5,0.6043756804716757,0.5093575466152528
75,2,75,0.03125,1.0,0.5930569974890131,0.4773424315522848
