,patient,v,UC_mean,UC_cov,session,EWS,TWS
0,8,0,0.00390625,3.814697265625e-06,4,0.8399563263430594,1.0
1,8,0,0.00390625,3.814697265625e-06,5,0.7915069860523932,0.9791666666666666
2,8,0,0.00390625,3.814697265625e-06,6,0.8002299747694659,0.9861111111111112
3,8,0,0.00390625,3.814697265625e-06,7,0.7978243397207085,0.9652777777777778
4,8,0,0.00390625,3.814697265625e-06,8,0.8107335470612105,0.9930555555555556
5,8,0,0.00390625,3.814697265625e-06,9,0.816428721597523,0.9791666666666666
6,8,0,0.00390625,3.814697265625e-06,10,0.8013948110110494,0.9814814814814815
7,8,0,0.00390625,3.814697265625e-06,11,0.644804065809957,0.6319444444444444
8,8,0,0.00390625,3.814697265625e-06,12,0.771644113456496,0.8583333333333333
9,8,0,0.00390625,3.814697265625e-06,13,0.8112438413313834,0.8958333333333334
10,8,0,0.00390625,3.814697265625e-06,14,0.8522838085161143,0.9722222222222222
11,8,0,0.00390625,3.814697265625e-06,15,0.8479699112652583,0.9861111111111112
12,8,0,0.00390625,3.814697265625e-06,16,0.8860088497562948,1.0
13,8,0,0.00390625,3.814697265625e-06,17,0.9066225084123546,0.9927536231884058
14,8,0,0.00390625,3.814697265625e-06,18,0.8806226326063464,1.0
15,8,1,0.00390625,7.62939453125e-06,4,0.8398845201405337,1.0
16,8,1,0.00390625,7.62939453125e-06,5,0.7911996919486851,0.9791666666666666
17,8,1,0.00390625,7.62939453125e-06,6,0.7998381356253077,0.9861111111111112
18,8,1,0.00390625,7.62939453125e-06,7,0.7973724790978964,0.9652777777777778
19,8,1,0.00390625,7.62939453125e-06,8,0.8100910514493169,0.9930555555555556
20,8,1,0.00390625,7.62939453125e-06,9,0.8158745508555301,0.9791666666666666
21,8,1,0.00390625,7.62939453125e-06,10,0.800845004554313,0.9814814814814815
22,8,1,0.00390625,7.62939453125e-06,11,0.644601568938677,0.625
23,8,1,0.00390625,7.62939453125e-06,12,0.7712785048071742,0.85
24,8,1,0.00390625,7.62939453125e-06,13,0.8107690598465009,0.8958333333333334
25,8,1,0.00390625,7.62939453125e-06,14,0.8523552110440675,0.9722222222222222
26,8,1,0.00390625,7.62939453125e-06,15,0.8479286518625287,0.9861111111111112
27,8,1,0.00390625,7.62939453125e-06,16,0.8855190134992477,1.0
28,8,1,0.00390625,7.62939453125e-06,17,0.9061161167056838,0.9927536231884058
29,8,1,0.00390625,7.62939453125e-06,18,0.8793591957334843,1.0
30,8,2,0.00390625,1.52587890625e-05,4,0.8397268045917254,1.0
31,8,2,0.00390625,1.52587890625e-05,5,0.7905812731436579,0.9791666666666666
32,8,2,0.00390625,1.52587890625e-05,6,0.7990525641864099,0.9861111111111112
33,8,2,0.00390625,1.52587890625e-05,7,0.796475943219251,0.9652777777777778
34,8,2,0.00390625,1.52587890625e-05,8,0.8088393751598976,0.9930555555555556
35,8,2,0.00390625,1.52587890625e-05,9,0.814813751775174,0.9722222222222222
36,8,2,0.00390625,1.52587890625e-05,10,0.7997499640026776,0.9814814814814815
37,8,2,0.00390625,1.52587890625e-05,11,0.6442054271847624,0.625
